Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Artist of the Year,"Lady Gaga
Taylor Swift
The Black Eyed Peas (Winner)
Miley Cyrus
Beyoncé","Katy Perry
Lady Gaga  (Winner)
Kesha
Rihanna
Bruno Mars","Adele (Winner)
Katy Perry
Rihanna
Bruno Mars
Nicki Minaj","Rihanna (Winner)
Adele
Katy Perry
Taylor Swift
Nicki Minaj","Rihanna
Macklemore & Ryan Lewis
Taylor Swift
Bruno Mars (Winner)
Drake","Iggy Azalea
Sam Smith
Ariana Grande 
Katy Perry
Jason Derulo
Taylor Swift (Winner)","Taylor Swift (Winner)
The Weeknd
Nicki Minaj
Ed Sheeran
Fetty Wap
Meghan Trainor
Maroon 5
Ariana Grande","Justin Bieber (Winner)
Drake
Rihanna
The Chainsmokers
Ariana Grande","Justin Bieber
Ed Sheeran (Winner)
Khalid
Taylor Swift
Post Malone","Drake (Winner)
Dua Lipa
IV Of Spades
Post Malone
Maroon 5","BTS (Winner)
Ariana Grande
Halsey
Post Malone
Taylor Swift","BTS (Winner)
Ariana Grande
Taylor Swift
Billie Eilish
The Weeknd
Dua Lipa","BTS (Winner)
Billie Eilish
Olivia Rodrigo
Taylor Swift
Doja Cat
Ed Sheeran
Justin Bieber
Kesha
The Weeknd
Dua Lipa","The Weeknd (Winner)
Taylor Swift
BTS
Harry Styles
Bad Bunny
Justin Bieber
Post Malone
Doja Cat
Billie Eilish
Ed Sheeran","Taylor Swift (Winner)
Kenaniah
The Weeknd
Miley Cyrus
SZA
Post Malone
Metro Boomin
Drake
Ed Sheeran
NewJeans","Hev Abi (Winner)
Chappell Roan
Billie Eilish
BINI
Ariana Grande
Charli XCX
Taylor Swift
Sabrina Carpenter","Kendrick Lamar (Winner)
Billie Eilish
SZA
Earl Agustin
Ariana Grande
Cup of Joe
JENNIE
Arthur Nery"
Album of the Year,"The Fame - Lady Gaga (Winner)
Fearless - Taylor Swift
I Am...Sasha Fierce - Beyoncé
Only By The Night - Kings of Leon
The E.N.D. - The Black Eyed Peas","Teenage Dream - Katy Perry (Winner)
The Fame Monster - Lady Gaga
Need You Now - Lady Antebellum
My World - Justin Bieber
Doo-Wops & Hooligans - Bruno Mars","21 - Adele (Winner)
Speak Now - Taylor Swift
Loud - Rihanna
Born This Way - Lady Gaga
Tha Carter IV - Lil Wayne","Up All Night - One Direction (Winner)
Take Care - Drake
Talk That Talk - Rihanna
Babel - Mumford & Sons
Some Nights - fun.","Red - Taylor Swift (Winner)
Unorthodox Jukebox - Bruno Mars
Take Me Home - One Direction
Unapologetic - Rihanna
The Heist - Macklemore & Ryan Lewis","Pure Heroine - Lorde (Winner)
My Everything - Ariana Grande
Midnight Memories - One Direction
Prism - Katy Perry
In The Lonely Hour - Sam Smith
Beyoncé - Beyoncé","1989 - Taylor Swift (Winner)
X - Ed Sheeran
Title - Meghan Trainor
V - Maroon 5
Hozier - Hozier
The Beauty Behind Madness - The Weeknd
To Pimp A Butterfly - Kendrick Lamar
Fetty Wap - Fetty Wap","Purpose - Justin Bieber (Winner)
Anti - Rihanna
Dangerous Woman - Ariana Grande
25 - Adele
Views - Drake","Divide - Ed Sheeran (Winner)
Damn. - Kendrick Lamar
24k Magic - Bruno Mars
Stoney - Post Malone
LANY - LANY","reputation - Taylor Swift (Winner)
Scorpion - Drake
Sweetener - Ariana Grande
Beerbongs & Bentleys - Post Malone
Red Pill Blues - Maroon 5","Malibu Nights - LANY (Winner)
Thank U, Next - Ariana Grande
No.6 Collaborations Project - Ed Sheeran
MAP OF THE SOUL: PERSONA - BTS
Lover - Taylor Swift","MAP OF THE SOUL: 7 - BTS
Folklore - Taylor Swift
Fine Line - Harry Styles
After Hours - The Weeknd  (Winner)
Positions - Ariana Grande
Future Nostalgia - Dua Lipa","BE - BTS
Planet Her - Doja Cat
Sour - Olivia Rodrigo
Happier Than Ever - Billie Eilish (Winner)
Evermore - Taylor Swift
Future Nostalgia - Dua Lipa
Lilac - IU
Equals - Ed Sheeran
Justice - Justin Bieber
Gg Bb Xx - LANY","Un Verano Sin Ti - Bad Bunny (Winner)
Dawn FM - The Weeknd
Jack In The Box - J-Hope
Harry's House - Harry Styles
Renaissance - Beyoncé
Still Over It - Summer Walker
I Never Liked U - Future
Twelve Carat Toothache - Post Malone
Proof - BTS
Red (Taylor's Version) - Taylor Swift","Midnights - Taylor Swift (Winner)
Never Enough - Daniel Caesar
Love Sick - Don Toliver
Indigo - RM
SOS - SZA
Guts - Olivia Rodrigo
Heroes & Villains - Metro Boomin
Austin - Post Malone
Subtract - Ed Sheeran
Endless Summer Vacation - Miley Cyrus","Hit Me Hard And Soft - Billie Eilish (Winner)
The Rise And Fall of a Midwest Princess - Chappell Roan
Short N’ Sweet - Sabrina Carpenter
Eternal Sunshine - Ariana Grande
Kung Alam Mo Lang - Hev Abi
The Tortured Poets Department - Taylor Swift
Brat - Charli XCX
Orquideas - Kali Uchis","GNX - Kendrick Lamar (Winner)
Himig at Pag-ibig - Earl Agustin
Silakbo - Cup of Joe
MAYHEM - Lady Gaga
Ruby - JENNIE
Lana - SZA
Swag - Justin Bieber
PLAY - Ed Sheeran"
Record of the Year,"I Gotta Feeling - The Black Eyed Peas (Winner)
Just Dance - Lady Gaga ft. Colby O'Donis
Thinking Of You - Katy Perry
You Belong With Me - Taylor Swift
Use Somebody - Kings of Leon","California Gurls - Katy Perry ft. Snoop Dogg
Bad Romance - Lady Gaga (Winner)
Tik Tok - Kesha
Nothin On You - B.o.B ft. Bruno Mars
Dynamite - Taio Cruz","Rolling In The Deep - Adele (Winner)
Grenade - Bruno Mars
Party Rock Anthem - LMFAO ft. Lauren Bennett, GoonRock
E.T. - Katy Perry
Born This Way - Lady Gaga","Somebody That I Used To Know - Gotye ft. Kimbra (Winner)
Call Me Maybe - Carly Rae Jepsen
We Are Young - fun. ft. Janelle Monae
Gangnam Style - Psy
We Found Love - Rihanna ft. Calvin Harris","Locked Out Of Heaven - Bruno Mars (Winner)
Can't Hold Us - Macklemore & Ryan Lewis ft. Ray Dalton
Mirrors - Justin Timberlake
I Knew You Were Trouble. - Taylor Swift
Just Give Me A Reason - P!nk ft. Nate Ruess","Rude - Magic!
Dark Horse - Katy Perry ft. Juicy J (Winner)
Royals - Lorde
Shake It Off - Taylor Swift
Stay With Me - Sam Smith
All Of Me - John Legend","Shut Up And Dance - Walk the Moon
Uptown Funk - Mark Ronson & Bruno Mars
Blank Space - Taylor Swift (Winner)
Thinking Out Loud - Ed Sheeran
Trap Queen - Fetty Wap
See You Again - Wiz Khalifa ft. Charlie Puth
Sugar - Maroon 5
One Last Time - Ariana Grande","Love Yourself - Justin Bieber (Winner)
Closer - The Chainsmokers ft. Halsey
One Dance - Drake ft. Wizkid & Kyla
Middle - DJ Snake ft. Bipolar Sunshine
Work - Rihanna ft. Drake","Super Far - LANY (Winner)
Shape Of You - Ed Sheeran
Humble. - Kendrick Lamar
Despacito - Luis Fonsi & Daddy Yankee ft. Justin Bieber
Look What You Made Me Do - Taylor Swift","Mundo - IV Of Spades (Winner)
God's Plan - Drake
Girls Like You - Maroon 5 ft. Cardi B
Psycho - Post Malone ft. Ty Dolla $ign
Thru These Tears - LANY","Boy With Luv - BTS ft. Halsey (Winner)
Thank U, Next - Ariana Grande
Without Me - Halsey
Sino - Unique
Huling Gabi - Quest & Moira Dela Torre","Everything I Wanted - Billie Eilish (Winner)
Dynamite - BTS
Circles - Post Malone
Cardigan - Taylor Swift
Don't Start Now - Dua Lipa
Eight - IU ft. SUGA","Happier Than Ever - Billie Eilish (Winner)
Butter - BTS
Kiss Me More - Doja Cat & SZA
Almost (Sweet Music) - Hozier
Die Young - Kesha
Fever - Enhypen
Levitating - Dua Lipa & DaBaby
Save Your Tears - The Weeknd & Ariana Grande
Stay - The Kid Laroi & Justin Bieber
Tolerate It - Taylor Swift","Ghost - Justin Bieber (Winner)
All Too Well (10 Minutes Version) - Taylor Swift
For Tonight - Giveon
Ex For A Reason - Summer Walker ft. JT
So Good - Halsey
Less Than Zero - The Weeknd
As It Was - Harry Styles
Ojitos Lindos - Bad Bunny ft. Bomba Estereo
Heat Waves - Glass Animals
Yet To Come - BTS","Bahala Na - Kenaniah (Winner)
Anti-Hero - Taylor Swift
Flowers - Miley Cyrus
Kill Bill - SZA
Middle of the Night - Monsta X
OMG - NewJeans
Raining In Manila - Lola Amour
Snooze - SZA
Take Two - BTS
Uhaw (Tayong Lahat) - Dilaw","Babaero - gins&melodies & Hev Abi (Winner)
Not Like Us - Kendrick Lamar
Espresso - Sabrina Carpenter
Ere - Juan Karlos
We Can’t Be Friends - Ariana Grande
Igual Que Un Angel - Kali Uchis & Peso Pluma
Birds Of A Feather - Billie Eilish
Good Luck, Babe! - Chappell Roan","Luther - Kendrick Lamar & SZA
Tibok - Earl Agustin
Multo - Cup of Joe (Winner)
Wildflower - Billie Eilish
B4 I LET YOU GO - Ryouji & CK YG
Daisies - Justin Bieber
Folded - Kehlani
Aura - IV Of Spades"
Song of the Year,"I Gotta Feeling - The Black Eyed Peas (Winner)
Use Somebody - Kings of Leon
You Belong With Me - Taylor Swift
Just Dance - Lady Gaga ft. Colby O'Donis
Thinking Of You - Katy Perry","Bad Romance - Lady Gaga (Winner)
California Gurls - Katy Perry ft. Snoop Dogg
Rude Boy - Rihanna
Tik Tok - Kesha
Just The Way You Are - Bruno Mars","Someone Like You - Adele (Winner)
Last Friday Night (T.G.I.F.) - Katy Perry
Grenade - Bruno Mars
The Edge Of Glory - Lady Gaga
Super Bass - Nicki Minaj","Somebody That I Used To Know - Gotye ft. Kimbra
A Thousand Years - Christina Perri
Call Me Maybe - Carly Rae Jepsen (Winner)
We Are Young - fun. ft. Janelle Monae
We Found Love - Rihanna ft. Calvin Harris","When I Was Your Man - Bruno Mars
Thrift Shop - Macklemore & Ryan Lewis ft. Wanz
Clarity - Zedd ft. Foxes (Winner)
I Knew You Were Trouble. - Taylor Swift
Just Give Me A Reason - P!nk ft. Nate Ruess","Stay With Me - Sam Smith (Winner)
Shake It Off - Taylor Swift
Dark Horse - Katy Perry ft. Juicy J
Royals - Lorde
All Of Me - John Legend
Pompeii - Bastille","Shut Up And Dance - Walk the Moon (Winner)
Uptown Funk - Mark Ronson & Bruno Mars
Blank Space - Taylor Swift
Thinking Out Loud - Ed Sheeran
Trap Queen - Fetty Wap
See You Again - Wiz Khalifa ft. Charlie Puth
Sugar - Maroon 5
Cheerleader - Omi","Love Yourself - Justin Bieber
Closer - The Chainsmokers ft. Halsey
One Dance - Drake ft. Wizkid & Kyla
Middle - DJ Snake ft. Bipolar Sunshine (Winner)
Work - Rihanna ft. Drake","Super Far - LANY (Winner)
Shape Of You - Ed Sheeran
Humble. - Kendrick Lamar
Despacito - Luis Fonsi & Daddy Yankee ft. Justin Bieber
Look What You Made Me Do - Taylor Swift","Mundo - IV Of Spades (Winner)
God's Plan - Drake
Kathang Isip - Ben&Ben
Psycho - Post Malone ft. Ty Dolla $ign
Thru These Tears - LANY","Boy With Luv - BTS ft. Halsey (Winner)
Thank U, Next - Ariana Grande
Without Me - Halsey
Sino - Unique
Huling Gabi - Quest & Moira Dela Torre","Dynamite - BTS (Winner)
Circles - Post Malone
Eight - IU ft. SUGA
Cardigan - Taylor Swift
Everything I Wanted - Billie Eilish
How You Like That - BLACKPINK","Save Your Tears - The Weeknd & Ariana Grande (Winner)
Happier Than Ever - Billie Eilish
Butter - BTS
Kiss Me More - Doja Cat & SZA
Almost (Sweet Music) - Hozier
Die Young - Kesha
Fever - Enhypen
Levitating - Dua Lipa & DaBaby
Stay - The Kid Laroi & Justin Bieber
Tolerate It - Taylor Swift","All Too Well (10 Minutes Version) - Taylor Swift (Winner)
Ghost - Justin Bieber
For Tonight - Giveon
Ex For A Reason - Summer Walker ft. JT
So Good - Halsey
Less Than Zero - The Weeknd
As It Was - Harry Styles
Wait For U - Future ft. Drake & Tems
Heat Waves - Glass Animals
Yet To Come - BTS","Raining In Manila - Lola Amour (Winner)
Bahala Na - Kenaniah
Anti-Hero - Taylor Swift
Flowers - Miley Cyrus
Kill Bill - SZA
Middle of the Night - Monsta X
OMG - NewJeans
Snooze - SZA
Take Two - BTS
Uhaw (Tayong Lahat) - Dilaw","Birds Of A Feather - Billie Eilish (Winner)
Espresso - Sabrina Carpenter
Good Luck, Babe! - Chappell Roan
We Can’t Be Friends - Ariana Grande
Babaero - gins&melodies & Hev Abi
Igual Que Un Angel - Kali Uchis & Peso Pluma
Ere - Juan Karlos
Die With A Smile - Lady Gaga & Bruno Mars","Luther - Kendrick Lamar & SZA
Tibok - Earl Agustin
Multo - Cup of Joe (Winner)
Wildflower - Billie Eilish
B4 I LET YOU GO - Ryouji & CK YG
Higa - Arthur Nery
Daisies - Justin Bieber
Aura - IV Of Spades"
Collaboration of the Year,"Just Dance - Lady Gaga ft. Colby O'Donis (Winner)
Right Round - Flo Rida ft. Kesha
Knock You Down - Keri Hilson ft. Kanye West, Ne-Yo
Down - Jay Sean ft. Lil Wayne
Live Your Life - T.I. ft. Rihanna","Nothin On You - B.o.B ft. Bruno Mars (Winner)
Telephone - Lady Gaga ft. Beyoncé
Love The Way You Lie - Eminem ft. Rihanna
OMG - Usher ft. will.i.am
Empire State of Mind - Jay-Z ft. Alicia Keys","Give Me Everything - Pitbull ft. Ne-Yo, Afrojack & Nayer (Winner)
Party Rock Anthem - LMFAO ft. Lauren Bennett, GoonRock
Moves Like Jagger - Maroon 5 ft. Christina Aguillera
Next To You - Chris Brown ft. Justin Bieber
Lighters - Bad Meets Evil ft. Bruno Mars","We Found Love - Rihanna ft. Calvin Harris (Winner)
Somebody That I Used To Know - Gotye ft. Kimbra
We Are Young - fun. ft. Janelle Monae
Payphone - Maroon 5 ft. Wiz Khalifa
Wild Ones - Flo Rida ft. Sia","Just Give Me A Reason - P!nk ft. Nate Ruess (Winner)
Can't Hold Us - Macklemore & Ryan Lewis ft. Ray Dalton
Clarity - Zedd ft. Foxes
Stay - Rihanna ft. Mikky Ekko
Dati - Sam Concepcion ft. Tippy Dos Santos","Timber - Pitbull & Kesha
Dark Horse - Katy Perry ft. Juicy J
Fancy - Iggy Azalea ft. Charli XCX
Problem - Ariana Grande ft. Iggy Azalea & Big Sean
Latch - Disclosure ft. Sam Smith
Rather Be - Clean Bandit ft. Jess Glynne (Winner)","Uptown Funk - Mark Ronson & Bruno Mars (Winner)
Bad Blood - Taylor Swift ft. Kendrick Lamar
See You Again - Wiz Khalifa ft. Charlie Puth
Post to Be - Omarion & Chris Brown & Jhené Aiko
Locked Away - R. City ft. Adam Levine
Lean On - Major Lazer & DJ Snake ft. MO
Love Me Harder - Ariana Grande & The Weeknd
Time of Our Lives - Pitbull and Ne-Yo","Work - Rihanna ft. Drake (Winner)
Middle - DJ Snake ft. Bipolar Sunshine
One Dance - Drake ft. Wizkid & Kyla
Closer - The Chainsmokers ft. Halsey
Nobody's Better - Suzi ft. Fetty Wap","Slide - Calvin Harris ft. Frank Ocean & Migos
I'm The One - DJ Khaled ft. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
Despacito - Luis Fonsi & Daddy Yankee ft. Justin Bieber (Winner)
Congratulations - Post Malone ft. Quavo
Wild Thoughts - DJ Khaled ft. Rihanna & Bryson Tiller","I Like It - Cardi B, Bad Bunny & J Balvin
Psycho - Post Malone ft. Ty Dolla $ign
The Middle - Zedd, Maren Morris & Grey
Girls Like You - Maroon 5 ft. Cardi B (Winner)
Havana - Camila Cabello ft. Young Thug","Boy With Luv - BTS ft. Halsey (Winner)
Happier - Marshmello & Bastille
Sunflower - Post Malone & Swae Lee
Dancing With A Stranger - Normani & Khalid
I Don't Care - Ed Sheeran & Justin Bieber","Eight - IU ft. SUGA (Winner)
Rain On Me - Lady Gaga ft. Ariana Grande
Blueberry Eyes - Max ft. SUGA
Crying Over You - HONNE ft. RM & BEKA
Wap - Cardi B ft. Megan Thee Stallion
Exile - Taylor Swift ft. Bon Iver","Save Your Tears - The Weeknd & Ariana Grande (Winner)
Kiss Me More - Doja Cat & SZA
Levitating - Dua Lipa & DaBaby
Stay - The Kid Laroi & Justin Bieber
Heartbreak Anthem - David Guetta, Galantis & Little Mix
My Universe - Coldplay & BTS
Cold Heart (PNAU Remix) - Elton John & Dua Lipa
Peaches - Justin Bieber ft. Giveon & Daniel Caesar","Wait For U - Future ft. Drake & Tems (Winner)
2step - Ed Sheeran ft. Lil Baby
Sunroof - Nicky Youre & Dazy
I Like You (A Happier Song) - Post Malone & Doja Cat
Ojitos Lindos - Bad Bunny ft. Bomba Estereo
Ex For A Reason - Summer Walker ft. JT
Bam Bam - Camila Cabello & Ed Sheeran
Bad Decisions - Benny Blanco, BTS & Snoop Dogg
Die Hard - Kendrick Lamar, Blxst, Amanda Reifer
Left & Right - Charlie Puth & Jung Kook","Disillusioned - Daniel Caesar & serpentwithfeet (Winner)
Boy's A Liar, Pt. 2 - PinkPantheress & Ice Spice
Bzrp Music Sessions, Vol. 53 - Bizarrap & Shakira
Calm Down - Rema & Selena Gomez
Creepin' - Metro Boomin, 21 Savage & The Weeknd
Die For You - The Weeknd & Ariana Grande
I'm Good (Blue) - David Guetta & Bebe Rexha
Karma - Taylor Swift ft. Ice Spice
Popular - The Weeknd, Madonna & Playboi Carti
Still Life - RM ft. Anderson .Paak","Babaero - gins&melodies & Hev Abi (Winner)
Makasarili Malambing - Kristina Dawn & Hev Abi
Fortnight - Taylor Swift & Post Malone
Die With A Smile - Lady Gaga & Bruno Mars
Sining - Dionela ft. Jay R
Supernatural - Ariana Grande ft. Troye Sivan
Rich Baby Daddy - Drake ft. SZA & Sexyy Red
Igual Que Un Angel - Kali Uchis ft. Peso Pluma","Luther - Kendrick Lamar & SZA (Winner)
BMW - Because & Leslie
Handlebars - JENNIE & Dua Lipa
30 For 30 - SZA & Kendrick Lamar
B4 I LET YOU GO - Ryouji & CK YG
Imma Flirt - Nateman ft. Lucky
Damn Right - JENNIE & Kali Uchis & Tyler The Creator
APT. - ROSÉ & Bruno Mars"
Best New Artist,"Lady Gaga (Winner)
Drake
Kid Cudi
Jason Derulo
Jay Sean","Justin Bieber (Winner)
Kesha
Bruno Mars
Iyaz
B.o.B","Adele (Winner)
Nicki Minaj
Wiz Khalifa
Foster The People
Bad Meets Evil","One Direction (Winner)
Gotye
Carly Rae Jepsen
fun.
Psy","Macklemore & Ryan Lewis
Lorde
Ariana Grande
Ed Sheeran
Kendrick Lamar","Sam Smith (Winner)
Iggy Azalea
Magic!
Bastille
Nico & Vinz
Charli XCX","Meghan Trainor
Fetty Wap (Winner)
The Weeknd
Hozier
Charlie Puth
OMI
Little Mix
Silento
Rachel Platten","The Chainsmokers
Halsey (Winner)
Zayn
Lukas Graham
Alessia Cara","LANY (Winner)
Khalid
Dua Lipa
Cardi B
Post Malone","IV Of Spades (Winner)
Ben&Ben
Juan Karlos
December Avenue
Juice Wrld","Billie Eilish (Winner)
Normani
Lil Nas X
Lizzo
Unique","V
Megan Thee Stallion
Doja Cat (Winner)
Niki
Emman
Jawsh 685","Olivia Rodrigo (Winner)
Adie
Gracie Abrams
Enhypen
Willow
The Kid Laroi
Paul Pablo
Silk Sonic","GAYLE (Winner)
Zack Tabudlo
IVE
Treasure
Lauren Spencer-Smith
Glass Animals
Fireboy DML
J-hope
LE SSERAFIM
Nicky Youre","NewJeans (Winner)
Sunkissed Lola
Noah Alejandre
FLO
Kenaniah
Lola Amour
PinkPantheress
Dilaw
Fifty Fifty
Ice Spice","Hev Abi (Winner)
BINI
Tyla
Dionela
ILLIT
Tommy Richman
Benson Boone
Chappell Roan","sombr
Olivia Dean (Winner)
Cup of Joe
HELLMERRY
Earl Agustin
KATSEYE
Amie Sol
Addison Rae"
Best Duo/Group,"The Black Eyed Peas (Winner)
Kings of Leon
Nickelback
2ne1
Super Junior","Lady Antebellum (Winner)
2ne1
Wonder Girls
The Black Eyed Peas
Train","LMFAO (Winner)
Maroon 5
Foster The People
Bad Meets Evil
Hot Chelle Rae","One Direction (Winner)
Maroon 5
fun.
The Wanted
LMFAO","One Direction (Winner)
Macklemore & Ryan Lewis
Capital Cities
Maroon 5
Imagine Dragons","One Direction (Winner)
Maroon 5
Bastille
Clean Bandit
OneRepublic
Nico & Vinz","Maroon 5
One Direction (Winner)
Walk the Moon
Fall Out Boy
5 Seconds of Summer
Rae Sremmurd
Major Lazer
Fifth Harmony","Twenty One Pilots
The Chainsmokers (Winner)
Coldplay
Fifth Harmony
DNCE","LANY (Winner)
The Chainsmokers
Coldplay
Imagine Dragons
Maroon 5","IV Of Spades (Winner)
Ben&Ben
Maroon 5
December Avenue
LANY","BTS (Winner)
LANY
IV Of Spades
December Avenue
Ben&Ben","BTS (Winner)
LANY
BLACKPINK
Twice
TXT
Honne","BTS (Winner)
Brave Girls
Jonas Brothers
Enhypen
Silk Sonic
LANY
Coldplay
TXT
Twice","BTS (Winner)
The 1975
Glass Animals
BLACKPINK
LE SSERAFIM
Treasure
OneRepublic
Silk Sonic
The Chainsmokers
Imagine Dragons","NewJeans (Winner)
BTS
Calein
Dilaw
Fifty Fifty
Lola Amour
Mayonnaise
Monsta X
Sunkissed Lola
The 1975","BINI (Winner)
ALLMO$T
ILLIT
LE SSERAFIM
Up Dharma Down","Cup of Joe (Winner)
KATSEYE
IV Of Spades
December Avenue
Soapdish"
Best Female Artist,"Lady Gaga (Winner)
Taylor Swift
Beyoncé
Miley Cyrus
Katy Perry","Katy Perry (Winner)
Lady Gaga
Kesha
Rihanna
Taylor Swift","Adele (Winner)
Katy Perry
Rihanna
Lady Gaga
Nicki Minaj","Rihanna
Adele
Katy Perry (Winner)
Taylor Swift
Nicki Minaj","Taylor Swift
Katy Perry
Yeng Constantino
Miley Cyrus
Rihanna (Winner)","Katy Perry
Iggy Azalea (Winner)
Lorde
Taylor Swift
Ariana Grande
Nicki Minaj","Taylor Swift (Winner)
Meghan Trainor
Ariana Grande
Ellie Goulding
Nicki Minaj
Rihanna
Demi Lovato
Selena Gomez","Rihanna (Winner)
Adele
Selena Gomez
Ariana Grande
Taylor Swift","Rihanna
Dua Lipa (Winner)
Taylor Swift
Selena Gomez
Halsey","Cardi B
Taylor Swift
Ariana Grande
Dua Lipa (Winner)
Camila Cabello","Ariana Grande (Winner)
Billie Eilish
Taylor Swift
Halsey
Lizzo","Taylor Swift (Winner)
Ariana Grande
Hwasa
Miley Cyrus
Billie Eilish
IU","Taylor Swift (Winner)
Doja Cat
Olivia Rodrigo
Ariana Grande
Kesha
Billie Eilish
Dua Lipa
IU","Taylor Swift (Winner)
Doja Cat
Billie Eilish
Dua Lipa
Beyoncé
Summer Walker
Halsey
Lizzo
Adele
GAYLE","Taylor Swift (Winner)
Billie Eilish
Doja Cat
Ice Spice
Miley Cyrus
Nicki Minaj
Olivia Rodrigo
P!nk
Sabrina Carpenter
SZA","Sabrina Carpenter (Winner)
Taylor Swift
Billie Eilish
Chappell Roan
Ariana Grande","Billie Eilish (Winner)
SZA
Ariana Grande
JENNIE
Olivia Dean"
Best Male Artist,"T.I. (Winner)
Ne-Yo
Jason Mraz
Drake
Kanye West","Justin Bieber (Winner)
Usher
B.o.B
Iyaz
Bruno Mars","Bruno Mars (Winner)
Chris Brown
Pitbull
David Guetta
Justin Bieber","Justin Bieber
David Guetta
Gotye
Bruno Mars (Winner)
Wiz Khalifa","Bruno Mars (Winner)
Justin Bieber
Justin Timberlake
Drake
Sam Concepcion","Sam Smith
Pharrell Williams
John Legend
Chris Brown
Jason Derulo (Winner)
Calvin Harris","Ed Sheeran
The Weeknd
Fetty Wap (Winner)
Drake
Charlie Puth
Sam Smith
Justin Bieber
Hozier","Justin Bieber (Winner)
Drake
Shawn Mendes
The Weeknd
DJ Snake","Ed Sheeran (Winner)
Drake
Kendrick Lamar
DJ Khaled
Bruno Mars","Drake (Winner)
Post Malone
Ed Sheeran
Khalid
Kendrick Lamar","Post Malone (Winner)
Ed Sheeran
Marshmello
Khalid
Unique","SUGA
Post Malone
Conan Gray
Max
Troye Sivan
The Weeknd (Winner)","The Weeknd (Winner)
Ed Sheeran
Justin Bieber
Hozier
Post Malone
SUGA
RM
Unique","The Weeknd (Winner)
Bad Bunny
J-hope
Harry Styles
Post Malone
Giveon
Ed Sheeran
Justin Bieber
Future
Lil Baby","Metro Boomin (Winner)
The Weeknd
Daniel Caesar
Don Toliver
Drake
Ed Sheeran
Jung Kook
Kenaniah
Post Malone
RM","Hev Abi (Winner)
Hozier
Kendrick Lamar
Juan Karlos
Drake","Kendrick Lamar (Winner)
Earl Agustin
Arthur Nery
Justin Bieber
HELLMERRY"
